# ----------------------------------------
# Demographic details: Country
# Account: national-parks
# Property: national-parks
# ----------------------------------------
# 
# All Users
# Start date: 20260323
# End date: 20260517
Country,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
United States,9645,9755,3717,0.2967427750279419,0.3853810264385692,34.75635044064282,42505,0,0,0
Canada,152,153,63,0.3559322033898305,0.4144736842105263,29.473684210526315,626,0,0,0
United Kingdom,121,120,39,0.2727272727272727,0.32231404958677684,21.71900826446281,483,0,0,0
Australia,65,66,30,0.43478260869565216,0.46153846153846156,53.8,259,0,0,0
Germany,63,64,17,0.26153846153846155,0.2698412698412698,6.761904761904762,229,0,0,0
Netherlands,55,55,11,0.1896551724137931,0.2,21.472727272727273,190,0,0,0
India,53,52,19,0.2878787878787879,0.3584905660377358,14,253,0,0,0
Singapore,38,38,9,0.225,0.23684210526315788,4.631578947368421,139,0,0,0
Ireland,24,24,2,0.08333333333333333,0.08333333333333333,1.625,74,0,0,0
France,23,23,7,0.28,0.30434782608695654,15.434782608695652,83,0,0,0
(not set),22,22,1,0.045454545454545456,0.045454545454545456,1.0454545454545454,69,0,0,0
Mexico,22,22,9,0.3103448275862069,0.4090909090909091,18.681818181818183,93,0,0,0
Spain,20,20,10,0.45454545454545453,0.5,17.45,80,0,0,0
Poland,17,17,5,0.2631578947368421,0.29411764705882354,49.05882352941177,76,0,0,0
Switzerland,17,17,4,0.21052631578947367,0.23529411764705882,14.352941176470589,60,0,0,0
Brazil,14,14,6,0.35294117647058826,0.42857142857142855,25.857142857142858,62,0,0,0
Italy,14,14,6,0.375,0.42857142857142855,18.785714285714285,63,0,0,0
Israel,13,13,7,0.4375,0.5384615384615384,8.615384615384615,55,0,0,0
Japan,11,11,5,0.3125,0.45454545454545453,12.090909090909092,49,0,0,0
,10,10,0,0,0,0,30,0,0,0
Belgium,10,10,6,0.5454545454545454,0.6,17.2,41,0,0,0
China,10,9,3,0.23076923076923078,0.3,1.9,44,0,0,0
Denmark,9,8,4,0.4444444444444444,0.4444444444444444,16.77777777777778,31,0,0,0
Türkiye,9,9,8,0.6666666666666666,0.8888888888888888,35.111111111111114,46,0,0,0
Hong Kong,8,8,7,0.2916666666666667,0.875,38,67,0,0,0
Taiwan,8,8,4,0.5,0.5,62.375,43,0,0,0
Argentina,7,7,2,0.2857142857142857,0.2857142857142857,10.428571428571429,24,0,0,0
New Zealand,7,7,4,0.4444444444444444,0.5714285714285714,96.57142857142857,34,0,0,0
Sweden,7,7,3,0.42857142857142855,0.42857142857142855,119.57142857142857,25,0,0,0
Austria,6,6,3,0.42857142857142855,0.5,30.5,32,0,0,0
Chile,5,5,3,0.6,0.6,24,18,0,0,0
Costa Rica,5,5,4,0.5714285714285714,0.8,18.8,27,0,0,0
Lithuania,5,5,2,0.4,0.4,12.2,21,0,0,0
Russia,5,4,4,0.6666666666666666,0.8,32,25,0,0,0
South Korea,5,5,0,0,0,0,15,0,0,0
United Arab Emirates,5,5,5,0.7142857142857143,1,64.6,27,0,0,0
Colombia,4,4,2,0.4,0.5,6.5,19,0,0,0
Czechia,4,4,3,0.75,0.75,21.5,17,0,0,0
Greece,4,4,3,0.75,0.75,54.5,15,0,0,0
Philippines,4,4,0,0,0,0.5,13,0,0,0
Portugal,4,4,1,0.25,0.25,7.5,15,0,0,0
Romania,4,3,1,0.25,0.25,31.75,15,0,0,0
Serbia,4,4,3,0.6,0.75,48.25,22,0,0,0
Sri Lanka,4,4,1,0.14285714285714285,0.25,14.75,21,0,0,0
