# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: national-parks
# Property: national-parks
# ----------------------------------------
# 
# All Users
# Start date: 20260323
# End date: 20260517
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/national-parks/,13906,10296,1.3506216006216005,27.131895881895883,42378,0,0
/national-parks/index.html,468,328,1.4268292682926829,87.52439024390245,904,0,0
/,384,222,1.7297297297297298,31.126126126126128,1024,0,0
/national-parks/june.html,179,123,1.4552845528455285,48.86991869918699,324,0,0
/national-parks/may.html,176,127,1.3858267716535433,43.53543307086614,319,0,0
/national-parks/july.html,153,105,1.457142857142857,74.55238095238096,279,0,0
/national-parks/april.html,105,78,1.3461538461538463,37.61538461538461,206,0,0
/national-parks/august.html,90,71,1.267605633802817,39.183098591549296,162,0,0
/national-parks/september.html,82,59,1.3898305084745763,55.83050847457627,128,0,0
/national-parks/october.html,66,50,1.32,52.98,94,0,0
/national-parks/january.html,54,41,1.3170731707317074,23.609756097560975,78,0,0
/national-parks/december.html,45,34,1.3235294117647058,32.14705882352941,69,0,0
/national-parks/november.html,45,27,1.6666666666666667,66.66666666666667,75,0,0
/national-parks/march.html,35,40,0.875,37.4,67,0,0
/national-parks/february.html,25,21,1.1904761904761905,40,36,0,0
/june,21,8,2.625,66.25,44,0,0
/index.html,9,6,1.5,38.333333333333336,19,0,0
/january.html,7,5,1.4,57.4,7,0,0
/march,5,3,1.6666666666666667,2,7,0,0
/may.html,5,3,1.6666666666666667,11.666666666666666,7,0,0
/november,5,3,1.6666666666666667,59.333333333333336,11,0,0
/acadia,4,2,2,162.5,9,0,0
/april.html,4,3,1.3333333333333333,28.333333333333332,7,0,0
/great-smoky-mountains,4,4,1,26.25,6,0,0
/march.html,4,2,2,30,6,0,0
/september,4,4,1,37.5,9,0,0
/yosemite,4,3,1.3333333333333333,11.333333333333334,8,0,0
/about,3,3,1,0,9,0,0
/grand-teton,3,3,1,234.33333333333334,12,0,0
/october.html,3,1,3,13,7,0,0
/yellowstone,3,3,1,6.333333333333333,5,0,0
/zion,3,1,3,293,9,0,0
/arches,2,1,2,44,4,0,0
/capitol-reef,2,1,2,68,4,0,0
/death-valley,2,2,1,13.5,3,0,0
/december.html,2,2,1,95,4,0,0
/february,2,2,1,25,3,0,0
/february.html,2,1,2,69,3,0,0
/glacier,2,2,1,26,3,0,0
/great-sand-dunes,2,2,1,8,4,0,0
/hawaii-volcanoes,2,2,1,3,5,0,0
/january,2,3,0.6666666666666666,8.666666666666666,5,0,0
/may,2,2,1,82,2,0,0
/sequoia,2,2,1,8,4,0,0
/august,1,1,1,17,1,0,0
/august.html,1,1,1,2,1,0,0
/badlands,1,1,1,48,2,0,0
/cmd_sco,1,1,1,0,3,0,0
/cuyahoga-valley,1,1,1,70,2,0,0
/december,1,1,1,18,1,0,0
/denali,1,1,1,0,2,0,0
/dry-tortugas,1,1,1,15,1,0,0
/everglades,1,1,1,7,2,0,0
/grand-canyon,1,1,1,1,2,0,0
/indiana-dunes,1,1,1,59,2,0,0
/isle-royale,1,1,1,20,3,0,0
/july,1,1,1,53,2,0,0
/july.html,1,1,1,85,2,0,0
/june.html,1,1,1,22,3,0,0
/katmai,1,1,1,49,2,0,0
/kenai-fjords,1,1,1,15,2,0,0
/rocky-mountain,1,1,1,1,2,0,0
/shenandoah,1,1,1,298,3,0,0
/pinnacles,0,1,0,36,1,0,0
